context	svi_tertile	y_delay_weeks	feature_missing_frac	feature_revision_frac	n_strata	total_series	mean_delta_rmse_fusion_minus_ar	weighted_delta_rmse_fusion_minus_ar	mean_frac_fusion_better_than_ar	weighted_frac_fusion_better_than_ar
with_current_y	low	3	0.1	0.3	12	176	0.11344717984565938	0.11341320081649534	0.21875	0.2159090909090909
with_current_y	low	4	0.0	0.0	12	184	0.16686956286591734	0.1655755316182701	0.0704861111111111	0.07065217391304347
with_current_y	low	4	0.0	0.3	12	184	0.15725219010885394	0.15624600612381864	0.09166666666666666	0.09239130434782608
with_current_y	low	4	0.1	0.0	12	179	0.21238907022074738	0.21119041041484174	0.15322420634920633	0.15083798882681565
with_current_y	low	4	0.1	0.3	12	176	0.13288031689102156	0.1316972030157479	0.1755952380952381	0.17613636363636365
with_current_y	low	4	0.2	0.0	12	149	0.2183182387043605	0.21033539744973465	0.21135311447811445	0.2214765100671141
with_current_y	low	4	0.2	0.3	12	131	0.09983862391586307	0.10081006313743249	0.25756003256003257	0.25190839694656486
with_current_y	mid	0	0.0	0.0	12	204	0.04341414432882121	0.0434141443288212	0.1323529411764706	0.1323529411764706
with_current_y	mid	0	0.0	0.3	12	204	0.03599086998972348	0.03599086998972347	0.20098039215686272	0.20098039215686275
with_current_y	mid	0	0.1	0.0	12	153	0.030827522698511908	0.032698862407390006	0.22548524460289165	0.22875816993464052
with_current_y	mid	0	0.1	0.3	12	130	0.07015556741376737	0.07055107614333454	0.2207070707070707	0.2230769230769231
with_current_y	mid	1	0.0	0.0	12	204	0.05332312847808581	0.053323128478085804	0.15196078431372548	0.15196078431372548
with_current_y	mid	1	0.0	0.3	12	204	0.046218377131072186	0.046218377131072186	0.2107843137254902	0.2107843137254902
with_current_y	mid	1	0.1	0.0	12	184	0.04418732368429539	0.045311749267487815	0.1963818860877685	0.1956521739130435
with_current_y	mid	1	0.1	0.3	12	178	0.09936789230350485	0.10098391029046072	0.11074862637362635	0.10674157303370786
with_current_y	mid	2	0.0	0.0	12	204	0.06244236949086018	0.06244236949086018	0.16666666666666666	0.16666666666666666
with_current_y	mid	2	0.0	0.3	12	204	0.05616959379060112	0.05616959379060112	0.17647058823529413	0.17647058823529413
with_current_y	mid	2	0.1	0.0	12	192	0.06202076073487734	0.06274556209887108	0.20410539215686274	0.203125
with_current_y	mid	2	0.1	0.3	12	192	0.12061824637447797	0.12061824637447797	0.11458333333333333	0.11458333333333333
