context	geo_id	pathogen	horizon_weeks	test_weeks	rmse_ar	rmse_fusion	delta_rmse_fusion_minus_ar	fusion_better_than_ar	n_weeks	median_samples_per_week	mean_samples_per_week	p10_samples	p90_samples	median_population_coverage	mean_population_coverage	coverage_tertile_median_population_coverage	coverage_tertile_median_samples
with_current_y	VA	RSV	3	52	0.0587025761253157	0.0647812430898991	0.006078666964583403	0	170	43.0	37.55294117647059	9.0	55.0	0.4031692660798123	0.2999751405334585	high	high
with_current_y	VT	COVID-19	3	52	0.1617580831402092	0.2478093447508889	0.08605126161067969	0	170	12.0	12.394117647058824	8.0	20.0	0.0803577775511276	0.09456219646531222	low	low
with_current_y	VT	Influenza	3	52	0.1780672521375211	0.211171109276471	0.03310385713894992	0	162	11.0	9.845679012345679	6.0	12.900000000000006	0.0712402604828266	0.07332742593014219	low	low
with_current_y	VT	RSV	3	52	0.1251268516523127	0.4330026366134574	0.3078757849611447	0	162	11.0	10.11111111111111	7.0	12.900000000000006	0.0712402604828266	0.07453698981825745	low	low
with_current_y	WA	COVID-19	3	52	0.0755279710323942	0.0795697169494062	0.004041745917012007	0	170	53.0	51.029411764705884	42.0	58.099999999999994	0.3007164939721979	0.296063946970743	mid	high
with_current_y	WA	Influenza	3	52	0.1042723376111065	0.1060688846204309	0.001796547009324398	0	138	53.0	50.64492753623188	40.400000000000006	59.0	0.3007164939721979	0.2904515101429116	mid	high
with_current_y	WA	RSV	3	52	0.1423964356578199	0.302320546944633	0.1599241112868131	0	138	18.0	26.60144927536232	3.0	58.0	0.09900659099737	0.14347414562647115	low	mid
with_current_y	WI	COVID-19	3	52	0.1409506835465042	0.1963075361555571	0.0553568526090529	0	170	85.0	84.65294117647059	80.0	88.0	0.3940528214304553	0.45754160221298207	high	high
with_current_y	WI	Influenza	3	52	0.1420192902087267	0.1464295389181872	0.004410248709460496	0	170	47.0	40.629411764705885	14.000000000000021	50.0	0.3541603267154386	0.29580391894314173	high	high
with_current_y	WI	RSV	3	52	0.111888754490114	0.1145530160993717	0.002664261609257701	0	170	47.0	40.73529411764706	14.000000000000021	50.0	0.3541603267154386	0.29580391894314173	high	high
with_current_y	WV	COVID-19	3	52	0.3977876342357254	0.4065440974693309	0.008756463233605516	0	170	43.5	54.65294117647059	29.0	110.0	0.2188112392619546	0.2164855609428327	mid	high
with_current_y	WV	Influenza	3	52	0.4961330286145189	0.5061240169159187	0.009990988301399772	0	155	20.0	18.593548387096774	3.0	34.0	0.1258127513181992	0.12841760418090015	low	mid
with_current_y	WV	RSV	3	52	0.3345648135683207	0.3386452297209359	0.004080416152615229	0	156	23.0	20.25	3.0	34.0	0.13951122739717706	0.13092850484612503	low	mid
with_current_y	WY	COVID-19	3	52	0.2755809046686542	0.2622921611305222	-0.01328874353813203	1	170	17.0	13.758823529411766	5.900000000000002	20.0	0.24687884724680925	0.22187907197728168	mid	mid
with_current_y	WY	Influenza	3	52	0.3162619712973994	0.3986843022435796	0.08242233094618018	0	139	11.0	10.028776978417266	6.0	12.0	0.2122263679242853	0.19237877280254684	mid	low
with_current_y	WY	RSV	3	52	0.340321704036351	0.3817512708740436	0.04142956683769261	0	139	11.0	10.02158273381295	6.0	12.0	0.2122263679242853	0.19237877280254684	mid	low
